x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
166.15,33.413,174.29,2,0.147,57.036,3,61,4,57,3,61,2,63,0,67
164.95,24.558,168.69,2,0.127,60.252,5,-77,4,57,2,63,3,61,1,55
164.95,24.545,168.69,2,0.131,60.753,-8,5,3,61,1,55,4,57,2,63
164.91,24.533,174.29,2,0.054,60.98,0,59,1,55,3,61,4,57,2,63
164.93,24.506,168.69,2,0.197,61.177,3,61,0,59,1,55,4,57,2,63
164.9,24.491,168.69,2,0.121,61.476,1,55,4,57,2,63,3,61,1,55
164,16.183,173.66,1,0.119,67.618,-38,-30,0,58,1,55,4,57,2,63
163.88,12.645,174.29,2,0.145,68.109,4,57,2,63,3,61,0,59,1,55
163.59,12.038,174.29,1,0.15,68.259,1,55,4,57,2,63,3,61,0,60
163.6,12.059,180,1,0.103,68.694,1,55,4,57,3,61,2,63,0,61
163.09,12.027,180,1,0.14,69.052,4,57,3,61,0,61,2,63,1,55
163.58,12.054,174.29,1,0.104,69.65,1,55,4,57,2,63,3,61,0,61
163.6,12.099,180,1,0.122,70.26,0,61,3,61,1,55,4,57,0,61
162.62,8.2689,168.69,1,0.105,70.726,2,-79,4,57,2,63,3,61,0,62
163.12,7.8137,174.29,1,0.193,70.919,1,55,4,57,2,63,3,61,0,62
163.14,7.7117,168.69,1,0.093,71.444,-8,6,0,62,1,55,4,57,3,61
163.11,7.6394,168.69,1,0.21,71.654,3,61,0,62,1,55,4,57,2,63
163.12,7.6699,168.69,1,0.051,71.806,-8,5,4,57,2,63,3,61,0,62
163.13,7.6777,168.69,1,0.091,72.172,4,57,2,63,0,62,3,61,1,55
162.54,7.6598,168.69,1,0.168,72.34,1,55,4,57,2,63,3,61,0,62
162.55,7.6535,168.69,1,0.151,72.789,4,57,2,63,3,61,0,62,1,55
163.16,7.6853,168.69,1,0.156,72.945,0,62,1,55,4,57,3,61,1,55
162.68,3.3372,173.66,1,0.127,73.645,-4,43,4,57,2,63,3,61,1,55
162.15,3.3539,173.66,1,0.145,73.79,3,61,0,62,1,55,4,57,2,63
162.7,3.3584,173.66,1,0.129,73.919,-35,-43,4,57,3,61,0,62,2,63
162.71,3.367,173.66,1,0.123,74.042,0,62,3,61,1,55,4,57,2,63
162.7,3.3681,173.66,1,0.13,74.172,2,63,0,62,1,55,3,61,4,57
162.7,3.3678,173.66,1,0.091,74.263,1,55,4,57,2,63,3,61,1,55
162.72,3.3831,173.66,1,0.132,74.395,0,62,1,55,4,57,2,63,3,61
162.7,3.3609,173.66,1,0.14,74.535,3,61,0,62,1,55,4,57,2,63
162.7,3.3728,173.66,1,0.092,74.627,-4,23,3,61,0,62,1,55,4,57
162.72,3.3861,173.66,1,0.141,74.768,3,61,2,63,1,55,0,62,4,57
162.71,3.3767,173.66,1,0.1,74.868,4,57,2,63,3,61,0,62,1,55
162.7,3.3642,173.66,1,0.139,75.007,3,61,2,63,0,62,1,55,4,57
162.16,3.3581,173.66,1,0.113,75.12,-35,-43,2,63,1,55,0,62,4,57
162.72,3.4005,173.66,1,0.101,75.221,1,55,4,57,2,63,3,61,1,55
162.71,3.3703,173.66,1,0.13,75.351,2,63,3,61,1,55,0,62,4,57
162.15,3.326,173.66,1,0.12,75.471,1,55,4,57,2,63,0,62,1,55
163,3.7151,173.66,2,0.14,75.611,2,63,3,61,0,62,1,55,4,57
162.71,3.3703,173.66,1,0.112,75.723,1,55,4,57,2,63,3,61,0,62
