,distance,dt,T,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4
0,288.860420759,,,50,54,64,58,60
1,202.400052619,,,50,55,62,58,60
2,202.389043429,0.124,17.217,50,55,62,57,60
3,202.377548656,,,50,55,62,57,60
4,202.380598378,0.122,21.187,50,55,62,57,60
5,202.397490597,0.04,21.398,50,54,62,58,60
6,202.397490597,0.192,21.59,50,54,62,58,60
7,202.399776927,0.136,21.895,50,54,62,58,60
8,202.399776927,,,50,54,62,58,60
9,202.712105707,0.044,22.363,50,54,62,58,60
10,202.704121566,0.065,22.616,50,54,62,58,60
11,203.02415275,0.175,22.791,50,54,61,57,60
12,203.497833158,0.121,22.912,50,54,61,57,60
13,203.545383637,0.105,24.42,50,54,61,57,60
14,203.531303244,0.052,24.657,50,54,61,57,60
15,203.52852036,0.132,26.464,50,54,61,57,60
16,203.508714801,,,50,54,61,57,60
17,203.520008844,0.132,29.243,50,54,61,57,60
18,203.510106137,0.078,29.476,50,54,61,57,60
19,203.511497955,0.068,29.698,50,54,61,57,60
20,204.073653371,0.121,30.084,50,54,61,57,60
21,204.521725007,,,51,54,61,58,60
22,204.772875401,0.19,30.506,51,54,61,58,60
23,204.807875825,0.09,30.596,51,54,61,58,60
24,204.844591093,0.063,30.802,51,54,61,58,60
25,204.813280087,,,51,54,61,58,60
26,204.815082452,0.161,31.563,51,54,61,58,60
27,204.821314565,0.153,32.007,51,54,61,57,60
28,204.842788987,0.125,34.533,51,54,61,57,60
29,204.823116371,0.174,34.707,51,54,61,57,60
30,204.823116371,0.121,34.828,51,54,61,57,60
31,204.821314565,,,51,54,61,57,60
32,204.813280087,0.16,35.078,51,53,61,57,60
33,204.823116371,0.092,35.17,51,53,61,57,60
34,204.821314565,0.131,35.301,51,53,61,57,60
35,204.803443819,,,51,53,61,57,60
36,204.790003906,0.132,35.545,51,53,61,57,60
37,204.805246271,0.108,35.653,51,53,61,57,60
38,204.823116371,0.142,35.795,51,53,61,57,60
39,205.352814454,0.102,35.897,52,53,61,57,60
40,205.429723236,0.14,36.037,52,53,61,57,60
41,205.465125802,0.12,36.157,52,53,61,57,60
42,205.487725609,,,52,53,61,58,60
43,205.45833416,,,52,53,61,58,60
44,205.491333238,0.129,36.508,52,53,61,58,60
45,205.45833416,0.121,36.629,52,53,61,58,60
46,205.456731026,0.101,36.73,52,53,61,58,60
47,205.446332712,0.123,36.853,52,53,61,58,60
48,205.467530109,0.14,36.993,52,53,61,58,60
49,205.479732151,0.12,37.113,52,53,61,58,60
50,205.467930892,0.072,37.286,52,53,61,58,60
51,205.460538958,0.159,37.445,52,53,61,58,60
52,205.453926261,0.133,37.578,52,53,61,58,60
53,205.475123419,0.109,37.687,52,53,60,58,60
54,205.485521692,,,52,53,59,58,60
55,205.475123419,0.141,37.949,52,53,59,58,60
56,205.465526473,0.122,38.071,52,53,59,58,60
57,205.490108105,0.119,38.19,52,53,60,58,60
58,205.78024326,0.102,38.292,52,53,60,58,60
59,206.202587656,0.14,38.432,52,53,60,58,60
60,206.187871178,0.114,38.546,52,53,60,58,60
61,206.183469417,0.09,38.636,52,53,60,58,60
62,206.1852299,0.162,38.798,52,53,60,58,60
63,206.157286286,0.129,38.927,52,53,60,58,60
64,206.186990678,0.08,39.007,52,53,60,58,60
65,206.173054389,,,52,53,60,58,60
66,206.170123221,,,52,53,60,58,60
67,206.169903031,0.11,39.37,51,53,60,58,60
68,206.167701389,0.131,39.501,51,53,60,58,60
69,206.149733323,0.123,39.624,51,53,60,58,60
70,206.177676214,0.108,39.732,51,53,60,58,60
71,206.157286286,0.141,39.873,51,53,60,58,60
72,206.175695183,0.112,39.985,51,53,60,58,60
73,206.157286286,0.11,40.095,51,53,60,58,60
74,206.170123221,0.132,40.227,51,53,60,58,60
75,206.195644959,0.118,40.345,51,53,60,58,60
76,206.170123221,0.093,40.438,51,53,60,58,60
77,206.153257023,0.159,40.597,51,53,60,58,60
78,206.419257728,0.113,40.71,51,53,60,58,60
79,206.9525811,0.122,40.832,51,53,60,58,60
80,206.971117792,,,51,53,60,58,60
81,206.990295427,0.153,41.074,51,53,60,58,60
82,206.977951106,0.109,41.183,51,53,60,58,60
83,207.00264008,0.13,41.313,51,53,60,58,60
84,207.00264008,0.1,41.413,51,53,60,58,60
85,206.98010752,0.112,41.525,51,53,60,58,60
86,206.988378613,0.13,41.655,51,53,60,58,60
87,206.971117792,0.151,41.806,51,53,60,58,60
88,206.991972878,0.082,41.888,51,53,60,58,60
89,206.989097384,,,51,53,60,58,60
90,206.991493584,0.122,42.139,51,53,60,58,60
91,206.971117792,0.131,42.27,51,53,60,58,60
92,206.977951106,0.12,42.39,51,53,60,58,60
93,206.990295427,0.122,42.512,51,53,60,58,60
94,206.992212532,0.113,42.625,51,53,60,58,60
95,206.988378613,,,51,53,60,58,60
96,207.00264008,0.141,42.897,51,53,60,58,60
97,207.00264008,0.1,42.997,51,53,60,58,60
98,207.104323202,0.102,43.099,51,53,60,58,60
99,207.453180347,0.094,43.323,51,53,60,58,60
100,207.756454234,0.157,43.48,52,53,60,58,60
101,207.81843873,0.132,43.612,52,53,60,58,60
102,207.796269517,0.099,43.711,52,53,60,58,60
103,207.801459632,0.141,43.852,52,53,60,58,60
104,207.79543667,0.1,43.952,51,53,60,58,60
105,207.78609306,0.123,44.075,50,53,60,58,60
106,207.791023685,0.109,44.184,51,53,60,58,60
107,207.777213996,0.111,44.295,51,53,60,58,60
108,207.787649924,0.133,44.428,52,53,60,58,60
109,207.800681,0.109,44.537,52,53,60,58,60
110,207.786818179,0.111,44.648,52,53,60,58,60
111,207.787909417,0.15,44.798,52,53,60,58,60
112,207.789985524,0.112,44.91,52,53,60,58,60
113,207.794398204,0.101,45.011,51,53,60,58,60
114,207.786611997,0.16,45.171,51,53,60,58,60
115,207.759361801,0.121,45.292,51,53,60,58,60
116,208.118328515,0.103,45.395,51,53,60,58,60
117,208.676545697,0.119,45.514,52,53,60,58,60
118,208.728138841,0.133,45.647,53,53,60,58,60
119,208.749717787,,,55,53,60,58,60
120,208.744145106,0.135,45.879,55,53,60,58,60
121,208.77031887,0.12,45.999,55,53,60,58,60
122,208.752634953,0.1,46.099,55,53,60,58,60
123,208.756112208,0.122,46.221,55,53,60,59,60
124,208.747488502,,,55,53,60,59,60
125,208.754027805,,,55,53,60,59,60
126,208.752634953,0.101,46.583,55,53,60,59,60
127,208.754306389,0.13,46.713,55,53,60,59,60
128,208.776857731,0.122,46.835,55,53,60,59,60
129,208.747343123,,,55,53,60,59,60
130,208.776857731,0.141,47.096,55,53,60,59,60
131,208.744980895,0.079,47.175,55,53,60,59,60
132,208.758764329,0.132,47.307,55,53,60,59,60
133,208.762517711,,,55,53,60,59,60
134,208.75722604,0.132,47.561,55,53,60,59,60
135,209.022933835,0.097,47.658,55,53,60,59,60
136,209.994622655,0.123,47.781,55,53,60,59,60
137,210.034810974,0.11,47.891,55,53,60,59,60
138,210.037793554,0.132,48.023,55,53,60,59,60
139,210.030038149,0.14,48.163,55,53,60,59,60
140,210.034810974,0.091,48.254,55,53,60,59,60
141,210.048830932,0.141,48.395,55,53,60,59,60
142,210.031231251,0.121,48.516,55,53,60,59,60
143,210.043462112,,,55,53,60,59,60
144,210.035109313,0.091,48.747,55,53,60,59,60
145,210.046449387,0.12,48.867,55,53,60,59,60
146,210.02496804,0.121,48.988,55,53,60,59,60
147,210.03958491,0.131,49.119,55,53,60,59,60
148,210.021984802,0.123,49.242,55,53,60,59,60
149,210.028250102,0.121,49.363,55,53,60,59,60
150,210.031231251,0.11,49.473,55,53,60,59,60
151,210.048532547,,,55,53,60,59,60
152,210.030336418,0.122,49.725,55,53,60,59,60
153,210.031231251,0.121,49.846,55,53,60,59,60
154,210.123162314,0.13,49.976,55,53,60,59,60
155,210.578732803,0.11,50.086,55,53,60,59,60
156,211.252285015,0.133,50.219,54,53,60,59,60
157,211.278313132,0.122,50.341,54,53,60,59,60
158,211.291522793,,,54,53,60,59,60
159,211.273472601,0.143,50.583,54,53,60,59,60
160,211.25609222,0.1,50.683,54,53,60,59,60
161,211.28898418,,,54,53,60,59,60
