,distance,dt,T,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4
0,289.038469758,0.109,21.275,65,67,81,72,64
1,288.327686669,0.76,22.035,68,68,81,72,64
2,287.623462882,1.058,23.093,70,68,81,72,64
3,287.612344659,1.048,24.141,71,68,81,70,64
4,287.434549941,1.063,25.204,74,68,81,71,64
5,285.912361747,1.038,26.242,77,68,81,72,65
6,282.088761208,0.047,27.338,72,68,81,72,65
7,281.878144772,1.002,28.34,68,68,81,71,65
8,280.039723254,1.065,29.405,69,68,81,71,65
9,276.111771571,0.067,30.51,73,68,81,71,65
10,275.790654664,1.003,31.513,71,68,81,71,65
11,273.553070719,1.031,32.544,74,68,81,71,65
12,271.814916809,1.058,33.602,75,68,81,71,65
13,269.744300403,1.039,34.641,72,67,81,71,65
14,268.853930974,1.064,35.705,72,67,81,71,64
15,267.539233198,1.05,36.755,72,67,81,72,64
16,265.773067108,1.039,37.794,70,67,81,72,64
17,264.227432527,1.063,38.857,72,67,81,72,65
18,263.014178325,1.038,39.895,75,67,81,72,65
19,262.575460582,1.059,40.954,75,67,81,72,65
20,262.957678914,1.05,42.004,74,67,81,72,65
21,261.939512102,1.042,43.046,70,65,82,72,65
22,260.071706735,1.059,44.105,67,65,82,72,64
23,258.59207769,1.058,45.163,69,65,82,72,64
24,257.194827794,1.04,46.203,72,66,82,72,66
25,256.421178072,1.058,47.261,71,67,82,73,65
26,255.676448874,1.04,48.301,70,67,82,73,65
27,255.264756222,1.059,49.36,70,67,82,73,65
28,255.194148248,1.046,50.406,71,67,82,71,65
29,254.697551384,1.044,51.45,71,68,81,71,65
30,253.835175655,1.057,52.507,71,68,81,71,65
31,253.507258691,1.059,53.566,71,68,81,71,65
32,252.779634908,1.051,54.617,74,68,81,71,65
33,252.235169586,1.038,55.655,71,68,81,71,65
34,251.156038353,1.046,56.701,72,68,81,71,65
35,250.822905979,1.061,57.762,73,68,82,72,65
36,250.717159532,1.039,58.801,73,67,82,72,65
37,250.719964544,1.052,59.853,73,67,82,72,65
38,250.697310668,1.058,60.911,74,67,82,72,65
39,249.918173371,1.045,61.956,73,67,82,72,65
40,249.493819354,1.061,63.017,69,68,82,72,65
41,248.833420145,1.038,64.055,69,68,82,72,65
42,248.91332334,1.059,65.114,69,68,82,72,65
43,248.481967354,1.042,66.156,69,68,82,72,65
44,248.508532387,1.06,67.216,70,68,82,72,65
45,248.50750853,1.05,68.266,70,68,82,72,65
46,247.571323745,1.046,69.312,71,68,82,72,65
47,247.066037344,1.044,70.356,72,68,82,72,64
48,246.580559055,1.06,71.416,73,68,82,72,65
49,246.408815053,1.041,72.457,73,68,82,72,65
50,246.17425483,1.065,73.522,73,69,82,72,65
51,246.148019289,1.044,74.566,73,69,82,72,65
52,246.13893602,1.04,75.606,73,69,82,72,64
53,246.274175587,1.059,76.665,73,69,82,72,64
54,246.283236693,1.059,77.724,74,69,82,72,65
55,246.036394259,1.04,78.764,73,69,82,72,65
56,246.189007626,1.059,79.823,73,69,82,72,65
57,246.048180493,1.038,80.861,73,68,82,72,65
58,245.974678268,1.058,81.919,73,68,82,72,65
59,245.891682863,1.043,82.962,72,68,82,72,65
60,245.786099892,1.058,84.02,71,69,82,72,65
61,245.728474386,1.046,85.066,71,69,82,72,65
62,245.522401821,1.058,86.124,70,69,82,71,65
63,245.618070225,1.039,87.163,70,69,82,72,65
64,245.642214686,1.065,88.228,69,68,82,73,65
65,245.6000632,1.039,89.267,68,68,82,73,65
66,245.53352251,1.066,90.333,68,68,82,73,65
67,245.37359148,1.028,91.361,68,68,82,73,65
68,245.453365349,1.067,92.428,68,68,82,73,65
69,245.427105726,1.038,93.466,68,68,82,73,65
70,245.273796744,1.067,94.533,68,69,82,73,65
71,245.270448789,1.039,95.572,68,69,82,73,65
72,245.354651474,1.055,96.627,68,69,82,72,65
73,245.082729086,1.041,97.668,68,69,82,72,65
74,245.001467718,1.048,98.716,68,68,82,73,66
75,244.978212297,1.065,99.781,68,68,82,73,65
76,244.998035586,1.04,100.82,68,68,82,73,65
77,245.009016683,1.061,101.88,68,67,82,72,65
78,244.881994154,1.051,102.93,68,67,82,72,65
79,244.885993066,1.039,103.97,68,67,82,72,65
80,244.838650317,1.064,105.04,68,68,82,72,65
81,244.918711813,1.051,106.09,68,68,82,72,65
82,244.778364871,1.038,107.12,68,68,81,72,65
83,244.791938601,1.058,108.18,68,68,81,72,67
84,244.817668202,1.041,109.22,68,68,81,72,65
85,244.773126844,1.061,110.28,68,68,81,72,65
86,244.861176157,1.037,111.32,68,68,81,72,65
87,244.765290638,1.058,112.38,68,68,81,72,65
88,244.82808392,1.058,113.44,68,68,81,72,65
89,244.829154941,1.046,114.48,68,70,81,72,65
90,244.808353689,1.05,115.53,68,69,81,72,65
91,244.768395909,1.056,116.59,70,69,81,72,65
92,244.855653768,1.048,117.64,70,69,81,72,65
93,244.77899822,1.041,118.68,72,69,81,72,66
94,244.807992963,1.057,119.74,81,69,81,72,65
95,244.805930679,1.042,120.78,82,69,81,72,65
96,244.802659285,1.057,121.83,76,69,81,71,65
97,244.82213111,1.059,122.89,71,69,81,71,65
98,244.855550064,1.038,123.93,71,69,81,71,65
99,244.869347795,1.058,124.99,69,69,81,71,65
100,244.965526182,1.037,126.03,69,69,81,71,65
101,244.958657819,1.062,127.09,70,69,81,71,65
102,245.012613644,1.043,128.13,73,69,81,71,65
103,245.090045,1.045,129.18,74,69,81,71,66
104,245.154367776,1.058,130.23,74,69,81,73,66
105,245.125840737,1.059,131.29,72,69,81,73,65
106,245.235265009,1.038,132.33,72,69,81,73,65
107,245.315502344,1.059,133.39,72,69,81,73,65
108,245.443587401,1.046,134.44,74,69,81,73,65
109,245.494511486,1.046,135.48,77,69,81,73,65
